id,thesession.org_id,album_id,track_num,title,tune_num
7778,-1,306,10,Lord Randall (song),1
7779,1428,306,11,The Humours Of Ballyconnell,1
7780,-1,306,11,Sliabh Maol,2
7781,-1,306,12,Coolroe,1
7782,1544,306,13,Dermot Byrne's,1
7783,996,306,14,Tailor's Twist,1
7784,1143,306,14,Byrne's,2
7785,-1,306,15,Leary's Cross,1
7786,192,306,15,Tommy Peoples',2
7787,-1,307,1,Rogues And Rascals,1
7788,1374,307,2,Barefoot,1
7789,-1,307,3,Road To Budapest,1
7790,-1,307,4,The Marguerita,1
7791,-1,307,5,The Taipei,1
7792,-1,307,6,Breton Rhapsody,1
7793,-1,307,7,Ancient Rite,1
7794,-1,307,8,Angela's Farewell,1
7795,-1,307,8,Carefree,2
7796,-1,307,9,Shades Of Immrama,1
7797,-1,307,10,Chaplin's March,1
7798,-1,307,11,Taimse Agus Maire,1
7799,6554,307,12,Sean O Duibhir,1
7800,3053,308,1,MacPherson's Rant,1
7801,-1,308,2,Tinker's Farewell,1
7802,-1,308,3,The Highland Cradle Song,1
7803,-1,308,4,Jock O' Hazeldean,1
7804,-1,308,5,Leonora,1
7805,-1,308,6,Star O' The Bar,1
7806,-1,308,7,Its Up Wie The Bonnets O' Bonnie Dundee,1
7807,4735,308,8,She Moved Through The Fair,1
7808,-1,308,9,The Town I Loved So Well,1
7809,-1,308,10,Leezie Lindsay,1
7810,-1,308,11,The Balena,1
7811,-1,308,12,Song For Ireland,1
7812,-1,308,13,Ye Banks & Braes,1
7813,-1,308,14,Jigs,1
7814,702,308,14,Blackthorn Stick,2
7815,-1,308,14,Roarin' Jelly,3
7816,1672,308,14,Biddy From Sligo,4
7817,1189,308,14,Rory O' More,5
7818,3418,309,1,My Former Wife,1
7819,1747,309,1,Snug In The Blanket,2
7820,1270,309,2,The Beauty Spot,1
7821,278,309,2,Bean Tinceara,2
7822,8973,309,3,Limerick's Lamentation,1
7823,666,309,4,Alexander's,1
7824,1128,309,4,The Bank Of Turf,2
7825,243,309,5,The Faery Queen,1
7826,8231,309,6,Willie Clancy's,1
7827,1409,309,6,The Milliner's Daughter,2
7828,-1,309,7,Shadow On The Hill,1
7829,1499,309,8,The Old Bush,1
7830,159,309,8,The Dark Girl In Blue,2
7831,992,309,9,Fraher's,1
7832,381,309,9,I Buried My Wife,2
7833,1388,309,9,The Leg Of The Duck,3
7834,10319,309,10,Easter Snow,1
7835,2180,309,11,The Drunken Gauger,1
7836,2748,309,12,Sean O Duibhir A'gleanna,1
7837,-1,309,13,King Of The Blind,1
7838,-1,310,1,Away We Go Again,1
7839,-1,310,2,Dochas,1
7840,678,310,3,Hedigan's Fancy,1
7841,-1,310,4,John O'Connor And The Ode To Whiskey,1
7842,-1,310,5,Friel's Kitchen,1
7843,-1,310,6,No. 6 The Coombe,1
7844,2204,310,7,O'Sullivan's March,1
7845,1107,310,8,The Ace And Deuce Of Pipering,1
7846,-1,310,9,The Fairies' Lamentation And Dance,1
7847,1075,310,10,Oh! The Breeches Full Of Stitches,1
7848,2025,311,1,The Wandering Minstrel,1
7849,2699,311,1,Jackson's Morning Brush,2
7850,651,311,2,The Boys Of Bluehill,1
7851,1980,311,2,Dunphy's,2
7852,-1,311,3,The Glen-Nephin Cukoo,1
7853,1968,311,3,The Little Fair Cannavans,2
7854,34,311,4,The Frieze Britches,1
7855,2527,311,5,The Flags Of Dublin,1
7856,116,311,5,The Wind That Shakes The Barley,2
7857,2224,311,6,The Little Stack Of Barley,1
7858,478,311,6,Cronin's,2
7859,1272,311,7,The New Demesne,1
7860,1104,311,8,The Blackbird,1
7861,1854,311,9,Gillan's Apples,1
7862,9601,311,9,The Walls Of Liscarroll,2
7863,658,311,9,The Stone In The Field,3
7864,-1,311,10,Molly O'Malone,1
7865,676,311,11,Kiss The Maid Behind The Barrel,1
7866,191,311,12,Happy To Meet And Sorry To Part,1
7867,-1,312,1,The Cruel Sister,1
7868,-1,312,2,Mn,1
7869,-1,312,3,"My Darling, I'm Fond Of You",1
7870,6768,312,3,Baltighoran,2
7871,399,312,4,Sligo Maid,1
7872,-1,312,4,I'm 18 Years Old Today,2
7873,7843,312,5,Joy Be With You,1
7874,1283,312,5,Flowers Of Spring,2
